Running tabgnn model...
Epoch 00014: reducing learning rate of group 0 to 5.0000e-04.
tabgnn model completed.
Running lightgbm model...
[LightGBM] [Info] Auto-choosing col-wise multi-threading, the overhead of testing was 0.001806 seconds.
You can set `force_col_wise=true` to remove the overhead.
[LightGBM] [Info] Total Bins 11472
[LightGBM] [Info] Number of data points in the train set: 69999, number of used features: 45
[LightGBM] [Info] Start training from score 0.038042
lightgbm model completed.
Running catboost model...
catboost model completed.
Running xgboost model...
xgboost model completed.
Running mlp model...
mlp model completed.
Running tabnet model...
epoch 0  | loss: 2.03734 |  0:00:01s
epoch 1  | loss: 0.14492 |  0:00:03s
epoch 2  | loss: 0.0465  |  0:00:06s
epoch 3  | loss: 0.02582 |  0:00:08s
epoch 4  | loss: 0.01607 |  0:00:10s
epoch 5  | loss: 0.01227 |  0:00:11s
epoch 6  | loss: 0.01053 |  0:00:13s
epoch 7  | loss: 0.0089  |  0:00:15s
epoch 8  | loss: 0.00784 |  0:00:17s
epoch 9  | loss: 0.00734 |  0:00:19s
epoch 10 | loss: 0.00613 |  0:00:22s
epoch 11 | loss: 0.00573 |  0:00:24s
epoch 12 | loss: 0.0053  |  0:00:25s
epoch 13 | loss: 0.00467 |  0:00:27s
epoch 14 | loss: 0.00429 |  0:00:29s
epoch 15 | loss: 0.00422 |  0:00:31s
epoch 16 | loss: 0.00372 |  0:00:32s
epoch 17 | loss: 0.00365 |  0:00:34s
epoch 18 | loss: 0.00348 |  0:00:36s
epoch 19 | loss: 0.00369 |  0:00:38s
epoch 20 | loss: 0.00333 |  0:00:40s
epoch 21 | loss: 0.00311 |  0:00:42s
epoch 22 | loss: 0.00297 |  0:00:44s
epoch 23 | loss: 0.00291 |  0:00:46s
epoch 24 | loss: 0.00289 |  0:00:47s
epoch 25 | loss: 0.00271 |  0:00:49s
epoch 26 | loss: 0.00265 |  0:00:51s
epoch 27 | loss: 0.0026  |  0:00:52s
epoch 28 | loss: 0.00242 |  0:00:53s
epoch 29 | loss: 0.00246 |  0:00:54s
epoch 30 | loss: 0.00234 |  0:00:55s
epoch 31 | loss: 0.00237 |  0:00:57s
epoch 32 | loss: 0.00242 |  0:00:58s
epoch 33 | loss: 0.00217 |  0:00:59s
epoch 34 | loss: 0.00218 |  0:01:02s
epoch 35 | loss: 0.00225 |  0:01:04s
epoch 36 | loss: 0.0023  |  0:01:06s
epoch 37 | loss: 0.00214 |  0:01:07s
epoch 38 | loss: 0.00203 |  0:01:09s
epoch 39 | loss: 0.00199 |  0:01:10s
epoch 40 | loss: 0.00197 |  0:01:11s
epoch 41 | loss: 0.00189 |  0:01:13s
epoch 42 | loss: 0.00185 |  0:01:15s
epoch 43 | loss: 0.00181 |  0:01:16s
epoch 44 | loss: 0.00183 |  0:01:18s
epoch 45 | loss: 0.00174 |  0:01:19s
epoch 46 | loss: 0.00186 |  0:01:21s
